Country,Year,Points,Place,Draw,Countries
Norway,1986,44,12,4,20
Norway,1987,65,9,1,22
Norway,1988,88,5,15,21
Norway,1989,30,17,8,22
Norway,1990,8,21,9,22
Norway,1991,14,17,14,22
Norway,1992,23,18,21,23
Norway,1993,120,5,25,25
Norway,1994,76,6,17,25
Norway,1995,148,1,5,23
Norway,1996,114,2,12,23
Norway,1997,0,24,3,25
Norway,1998,79,8,22,25
Norway,1999,35,14,8,23
Norway,2000,57,11,8,24
Norway,2001,3,22,4,23
Norway,2003,123,4,18,26
Norway,2004,3,24,3,24
Norway,2005,125,9,5,24
Norway,2006,36,14,5,24
Norway,2008,182,5,25,25
Norway,2009,387,1,20,25
Norway,2010,35,20,3,25
Norway,2012,7,26,12,26
Norway,2013,191,4,24,26
Norway,2014,88,8,5,26
Norway,2015,102,8,9,27
Norway,2017,158,10,17,26
Norway,2018,144,15,7,26
Norway,2019,331,6,15,26
Norway,2021,75,18,22,26
Norway,2022,182,10,7,25
Poland,1994,166,2,24,25
Poland,1995,15,18,1,23
Poland,1996,31,15,20,23
Poland,1997,54,11,12,25
Poland,1998,19,17,7,25
Poland,1999,17,18,12,23
Poland,2001,11,20,18,23
Poland,2003,90,7,20,26
Poland,2004,27,17,19,24
Poland,2008,14,24,10,25
Poland,2014,62,14,9,26
Poland,2015,10,23,18,27
Poland,2016,229,8,12,26
Poland,2017,64,22,2,26
Poland,2022,151,12,23,25
Portugal,1964,0,13,11,16
Portugal,1965,1,13,12,18
Portugal,1966,6,13,8,18
Portugal,1967,3,12,5,17
Portugal,1968,5,11,1,17
Portugal,1969,4,15,15,16
Portugal,1971,83,9,15,18
Portugal,1972,90,7,7,18
Portugal,1973,80,10,3,17
Portugal,1974,3,14,16,17
Portugal,1975,16,16,16,19
Portugal,1976,24,12,15,18
Portugal,1977,18,14,8,18
Portugal,1978,5,17,5,20
Portugal,1979,64,9,1,19
Portugal,1980,71,7,14,19
Portugal,1981,9,18,15,20
Portugal,1982,32,13,1,18
Portugal,1983,33,13,17,20
Portugal,1984,38,11,19,19
Portugal,1985,9,18,9,19
Portugal,1986,28,14,20,20
Portugal,1987,15,18,8,22
Portugal,1988,5,18,20,21
Portugal,1989,39,16,9,22
Portugal,1990,9,20,16,22
Portugal,1991,62,8,12,22
Portugal,1992,26,17,8,23
Portugal,1993,60,10,11,25
Portugal,1994,73,8,8,25
Portugal,1995,5,21,16,23
Portugal,1996,92,6,4,23
Portugal,1997,0,24,15,25
Portugal,1998,36,12,14,25
Portugal,1999,12,21,16,23
Portugal,2001,18,17,11,23
Portugal,2003,13,22,7,26
Portugal,2008,69,13,13,25
Portugal,2009,57,15,6,25
Portugal,2010,43,18,23,25
Portugal,2017,758,1,11,26
Portugal,2018,39,26,8,26
Portugal,2021,153,12,7,26
Portugal,2022,207,9,3,25
Romania,1994,14,21,11,25
Romania,1998,6,22,15,25
Romania,2000,25,17,6,24
Romania,2002,71,9,21,24
Romania,2003,73,10,24,26
Romania,2004,18,18,23,24
Romania,2005,158,3,4,24
Romania,2006,172,4,12,24
Romania,2007,84,13,20,24
Romania,2008,45,20,1,25
Romania,2009,40,19,22,25
Romania,2010,162,3,19,25
Romania,2011,77,17,17,25
Romania,2012,71,12,14,26
Romania,2013,65,13,14,26
Romania,2014,72,12,6,26
Romania,2015,35,15,20,27
Romania,2017,282,7,20,26
Romania,2022,65,18,2,25
Russia,1994,70,9,23,25
Russia,1995,17,17,6,23
Russia,1997,33,15,20,25
Russia,2000,155,2,9,24
Russia,2001,37,12,6,23
Russia,2002,55,10,7,24
Russia,2003,164,3,11,26
Russia,2004,67,11,14,24
Russia,2005,57,15,20,24
Russia,2006,248,2,10,24
Russia,2007,207,3,15,24
Russia,2008,272,1,24,25
Russia,2009,91,11,10,25
Russia,2010,90,11,20,25
Russia,2011,77,16,10,25
Russia,2012,259,2,6,26
Russia,2013,174,5,10,26
Russia,2014,89,7,15,26
Russia,2015,303,2,25,27
Russia,2016,491,3,18,26
Russia,2019,370,3,5,26
Russia,2021,204,9,5,26
San Marino,2014,14,24,25,26
San Marino,2019,77,19,7,26
San Marino,2021,50,22,26,26
Serbia,2007,268,1,17,24
Serbia,2008,160,6,23,25
Serbia,2010,72,13,8,25
Serbia,2011,85,14,24,25
Serbia,2012,214,3,24,26
Serbia,2015,53,10,8,27
Serbia,2016,115,18,15,26
Serbia,2018,113,19,10,26
Serbia,2019,89,18,23,26
Serbia,2021,102,15,8,26
Serbia,2022,312,5,24,25
Serbia Montenegro,2004,263,2,5,24
Serbia Montenegro,2005,137,7,12,24
Slovakia,1994,15,19,15,25
Slovakia,1996,19,18,22,23
Slovakia,1998,8,21,6,25
Slovenia,1993,9,22,16,25
Slovenia,1995,84,7,20,23
Slovenia,1996,16,21,14,23
Slovenia,1997,60,10,6,25
Slovenia,1998,17,18,12,25
Slovenia,1999,50,11,6,23
Slovenia,2001,70,7,17,23
Slovenia,2002,33,13,22,24
Slovenia,2003,7,23,26,26
Slovenia,2007,66,15,7,24
Slovenia,2011,96,13,20,25
Slovenia,2014,9,25,17,26
Slovenia,2015,39,14,1,27
Slovenia,2018,64,22,3,26
Slovenia,2019,105,15,10,26
Spain,1961,8,9,1,16
Spain,1962,0,13,3,16
Spain,1963,2,12,12,16
Spain,1964,1,12,16,16
Spain,1965,0,15,3,18
Spain,1966,9,7,11,18
Spain,1967,9,6,12,17
Spain,1968,29,1,15,17
Spain,1969,18,1,3,16
Spain,1970,8,4,9,12
Spain,1971,116,2,6,18
Spain,1972,83,10,4,18
Spain,1973,125,2,7,17
Spain,1974,10,9,3,17
Spain,1975,53,10,17,19
Spain,1976,11,16,12,18
Spain,1977,52,9,14,18
Spain,1978,65,9,7,20
Spain,1979,116,2,19,19
Spain,1980,38,12,18,19
Spain,1981,38,14,10,20
Spain,1982,52,10,12,18
Spain,1983,0,19,7,20
Spain,1984,106,3,4,19
Spain,1985,36,14,5,19
Spain,1986,51,10,9,20
Spain,1987,10,19,9,22
Spain,1988,58,11,6,21
Spain,1989,88,6,16,22
Spain,1990,96,5,1,22
Spain,1991,119,4,19,22
Spain,1992,37,14,1,23
Spain,1993,58,11,22,25
Spain,1994,17,18,21,25
Spain,1995,119,2,9,23
Spain,1996,17,20,3,23
Spain,1997,96,6,10,25
Spain,1998,21,16,4,25
Spain,1999,1,23,3,23
Spain,2000,18,18,13,24
Spain,2001,76,6,13,23
Spain,2002,81,7,5,24
Spain,2003,81,8,12,26
Spain,2004,87,10,1,24
Spain,2005,28,21,10,24
Spain,2006,18,21,6,24
Spain,2007,43,20,2,24
Spain,2008,55,16,22,25
Spain,2009,23,23,25,25
Spain,2010,68,15,2,25
Spain,2011,50,23,22,25
Spain,2012,97,10,19,26
Spain,2013,8,25,5,26
Spain,2014,74,10,19,26
Spain,2015,15,21,21,27
Spain,2016,77,22,19,26
Spain,2017,5,26,16,26
Spain,2018,61,23,2,26
Spain,2019,54,22,26,26
Spain,2021,6,24,13,26
Spain,2022,459,3,10,25
Sweden,1958,10,4,5,10
Sweden,1959,4,9,7,11
Sweden,1960,4,10,2,13
Sweden,1961,2,14,7,16
Sweden,1962,4,7,6,16
Sweden,1963,0,13,13,16
Sweden,1965,6,10,10,18
Sweden,1966,16,2,10,18
Sweden,1967,7,8,7,17
Sweden,1968,15,5,8,17
Sweden,1969,8,9,9,16
Sweden,1971,85,6,12,18
Sweden,1972,75,13,14,18
Sweden,1973,94,5,12,17
Sweden,1974,24,1,8,17
Sweden,1975,72,8,18,19
Sweden,1977,2,18,13,18
Sweden,1978,26,14,20,20
Sweden,1979,8,17,15,19
Sweden,1980,47,10,8,19
Sweden,1981,50,10,20,20
Sweden,1982,67,8,9,18
Sweden,1983,126,3,4,20
Sweden,1984,145,1,1,19
Sweden,1985,103,3,16,19
Sweden,1986,78,5,17,20
Sweden,1987,50,12,6,22
Sweden,1988,52,12,2,21
Sweden,1989,110,4,10,22
Sweden,1990,24,16,18,22
Sweden,1991,146,1,8,22
Sweden,1992,9,22,7,23
Sweden,1993,89,7,13,25
Sweden,1994,48,13,1,25
Sweden,1995,100,3,18,23
Sweden,1996,100,3,23,23
Sweden,1997,36,14,16,25
Sweden,1998,53,10,19,25
Sweden,1999,163,1,15,23
Sweden,2000,88,7,18,24
Sweden,2001,100,5,7,23
Sweden,2002,72,8,12,24
Sweden,2003,107,5,25,26
Sweden,2004,170,5,24,24
Sweden,2005,30,19,14,24
Sweden,2006,170,5,22,24
Sweden,2007,51,18,12,24
Sweden,2008,47,18,15,25
Sweden,2009,33,21,4,25
Sweden,2011,185,3,7,25
Sweden,2012,372,1,17,26
Sweden,2013,62,14,16,26
Sweden,2014,218,3,13,26
Sweden,2015,365,1,10,27
Sweden,2016,261,5,9,26
Sweden,2017,344,5,24,26
Sweden,2018,274,7,20,26
Sweden,2019,334,5,9,26
Sweden,2021,109,14,25,26
Sweden,2022,438,4,20,25
Switzerland,1957,5,8,10,10
Switzerland,1958,24,2,10,10
Switzerland,1959,14,4,8,11
Switzerland,1960,5,8,9,13
Switzerland,1961,16,3,10,16
Switzerland,1962,2,10,11,16
Switzerland,1963,40,2,10,16
Switzerland,1964,0,13,14,16
Switzerland,1965,8,8,18,18
Switzerland,1966,12,6,12,18
Switzerland,1967,0,17,6,17
Switzerland,1968,2,13,6,17
Switzerland,1969,13,5,11,16
Switzerland,1970,8,4,2,12
Switzerland,1971,78,12,4,18
Switzerland,1972,88,8,8,18
Switzerland,1973,79,12,8,17
Switzerland,1974,3,14,15,17
Switzerland,1975,77,6,7,19
Switzerland,1976,91,4,2,18
Switzerland,1977,71,6,12,18
Switzerland,1978,65,9,9,20
Switzerland,1979,60,10,8,19
Switzerland,1980,104,4,9,19
Switzerland,1981,121,4,19,20
Switzerland,1982,97,3,7,18
Switzerland,1983,28,15,8,20
Switzerland,1984,30,16,17,19
Switzerland,1985,39,12,15,19
Switzerland,1986,140,2,10,20
Switzerland,1987,26,17,22,22
Switzerland,1988,137,1,9,21
Switzerland,1989,47,13,18,22
Switzerland,1990,51,11,12,22
Switzerland,1991,118,5,5,22
Switzerland,1992,32,15,13,23
Switzerland,1993,148,3,4,25
Switzerland,1994,15,19,9,25
Switzerland,1996,22,16,9,23
Switzerland,1997,5,22,7,25
Switzerland,1998,0,25,5,25
Switzerland,2000,14,20,16,24
Switzerland,2002,15,22,11,24
Switzerland,2005,128,8,22,24
Switzerland,2006,30,16,1,24
Switzerland,2011,19,25,13,25
Switzerland,2014,64,13,20,26
Switzerland,2019,364,4,24,26
Switzerland,2021,432,3,11,26
Switzerland,2022,78,17,5,25
Turkey,1975,3,19,13,19
Turkey,1978,2,18,12,20
Turkey,1980,23,15,2,19
Turkey,1981,9,18,2,20
Turkey,1982,20,15,5,18
Turkey,1983,0,19,6,20
Turkey,1984,37,12,15,19
Turkey,1985,36,14,7,19
Turkey,1986,53,9,8,20
Turkey,1987,0,22,10,22
Turkey,1988,37,15,5,21
Turkey,1989,5,21,5,22
Turkey,1990,21,17,4,22
Turkey,1991,44,12,10,22
Turkey,1992,17,19,4,23
Turkey,1993,10,21,2,25
Turkey,1995,21,16,10,23
Turkey,1996,57,12,1,23
Turkey,1997,121,3,2,25
Turkey,1998,25,14,24,25
Turkey,1999,21,16,7,23
Turkey,2000,59,10,22,24
Turkey,2001,41,11,15,23
Turkey,2002,29,16,19,24
Turkey,2003,167,1,4,26
Turkey,2004,195,4,22,24
Turkey,2005,92,13,6,24
Turkey,2006,91,11,23,24
Turkey,2007,163,4,22,24
Turkey,2008,138,7,12,25
Turkey,2009,177,4,18,25
Turkey,2010,170,2,14,25
Turkey,2012,112,7,18,26
Ukraine,2003,30,14,16,26
Ukraine,2004,280,1,10,24
Ukraine,2005,30,19,16,24
Ukraine,2006,145,7,18,24
Ukraine,2007,235,2,18,24
Ukraine,2008,230,2,18,25
Ukraine,2009,76,12,21,25
Ukraine,2010,108,10,17,25
Ukraine,2011,159,4,23,25
Ukraine,2012,65,15,25,26
Ukraine,2013,214,3,22,26
Ukraine,2014,113,6,1,26
Ukraine,2016,534,1,21,26
Ukraine,2017,36,24,22,26
Ukraine,2018,130,17,1,26
Ukraine,2021,364,5,19,26
Ukraine,2022,631,1,12,25
United Kingdom,1957,6,7,3,10
United Kingdom,1959,16,2,10,11
United Kingdom,1960,25,2,1,13
United Kingdom,1961,24,2,15,16
United Kingdom,1962,10,4,13,16
United Kingdom,1963,28,4,1,16
United Kingdom,1964,17,2,8,16
United Kingdom,1965,26,2,2,18
United Kingdom,1966,8,9,18,18
United Kingdom,1967,47,1,11,17
United Kingdom,1968,28,2,12,17
United Kingdom,1969,18,1,7,16
United Kingdom,1970,26,2,7,12
United Kingdom,1971,98,4,9,18
United Kingdom,1972,114,2,5,18
United Kingdom,1973,123,3,15,17
United Kingdom,1974,14,4,2,17
United Kingdom,1975,138,2,9,19
United Kingdom,1976,164,1,1,18
United Kingdom,1977,121,2,9,18
United Kingdom,1978,61,11,8,20
United Kingdom,1979,73,7,17,19
United Kingdom,1980,106,3,13,19
United Kingdom,1981,136,1,14,20
United Kingdom,1982,76,7,4,18
United Kingdom,1983,79,6,3,20
United Kingdom,1984,63,7,6,19
United Kingdom,1985,100,4,14,19
United Kingdom,1986,72,7,5,20
United Kingdom,1987,47,13,14,22
United Kingdom,1988,136,2,4,21
United Kingdom,1989,130,2,7,22
United Kingdom,1990,87,6,7,22
United Kingdom,1991,47,10,20,22
United Kingdom,1992,139,2,16,23
United Kingdom,1993,164,2,19,25
United Kingdom,1994,63,10,6,25
United Kingdom,1995,76,10,15,23
United Kingdom,1996,77,8,2,23
United Kingdom,1997,227,1,24,25
United Kingdom,1998,166,2,16,25
United Kingdom,1999,38,12,5,23
United Kingdom,2000,28,16,3,24
United Kingdom,2001,28,15,16,23
United Kingdom,2002,111,3,2,24
United Kingdom,2003,0,26,15,26
United Kingdom,2004,29,16,20,24
United Kingdom,2005,18,22,2,24
United Kingdom,2006,25,19,15,24
United Kingdom,2007,19,22,19,24
United Kingdom,2008,14,25,2,25
United Kingdom,2009,173,5,23,25
United Kingdom,2010,10,25,12,25
United Kingdom,2011,100,11,14,25
United Kingdom,2012,12,25,1,26
United Kingdom,2013,23,19,15,26
United Kingdom,2014,40,17,26,26
United Kingdom,2015,5,24,5,27
United Kingdom,2016,62,24,25,26
United Kingdom,2017,111,15,18,26
United Kingdom,2018,48,24,9,26
United Kingdom,2019,11,26,16,26
United Kingdom,2021,0,26,9,26
United Kingdom,2022,466,2,22,25
Yugoslavia,1961,9,8,5,16
Yugoslavia,1962,10,4,12,16
Yugoslavia,1963,3,11,9,16
Yugoslavia,1964,0,13,13,16
Yugoslavia,1965,2,12,17,18
Yugoslavia,1966,9,7,5,18
Yugoslavia,1967,7,8,15,17
Yugoslavia,1968,8,7,17,17
Yugoslavia,1969,5,13,1,16
Yugoslavia,1970,4,11,4,12
Yugoslavia,1971,68,14,16,18
Yugoslavia,1972,87,9,13,18
Yugoslavia,1973,65,15,9,17
Yugoslavia,1974,6,12,7,17
Yugoslavia,1975,22,13,8,19
Yugoslavia,1976,10,17,18,18
Yugoslavia,1981,35,15,7,20
Yugoslavia,1982,21,14,14,18
Yugoslavia,1983,125,4,12,20
Yugoslavia,1984,26,18,12,19
Yugoslavia,1986,49,11,2,20
Yugoslavia,1987,92,4,21,22
Yugoslavia,1988,87,6,21,21
Yugoslavia,1989,137,1,22,22
Yugoslavia,1990,81,7,15,22
Yugoslavia,1991,1,21,1,22
Yugoslavia,1992,44,13,20,23
